time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-03T23:34:50.280Z,35.8675003,-117.6821671,10.83,1.29,ml,13,129,0.08931,0.15,ci,ci40477464,2023-06-03T23:36:57.457Z,"22km ESE of Little Lake, CA",earthquake,0.5,0.76,0.149,2,automatic,ci,ci
2023-06-03T23:28:34.780Z,38.7888336,-122.7901688,1.07,0.79,md,16,111,0.004682,0.03,nc,nc73896621,2023-06-03T23:30:10.243Z,"3km WNW of The Geysers, CA",earthquake,0.25,0.41,0.13,16,automatic,nc,nc
2023-06-03T23:20:08.960Z,38.7944984,-122.82267,1.98,0.62,md,10,105,0.009728,0.03,nc,nc73896616,2023-06-03T23:21:45.303Z,"6km WNW of The Geysers, CA",earthquake,0.41,0.92,0.28,10,automatic,nc,nc
2023-06-03T23:18:57.510Z,38.8476677,-122.81633,1.09,0.81,md,10,101,0.008876,0.04,nc,nc73896611,2023-06-03T23:20:35.263Z,"9km WNW of Cobb, CA",earthquake,0.33,0.91,0.37,11,automatic,nc,nc
2023-06-03T23:05:05.082Z,58.1664,-155.3941,1.2,0.8,ml,,,,0.92,ak,ak023732hhxo,2023-06-03T23:06:49.209Z,"Alaska Peninsula",earthquake,,3,,,automatic,ak,ak
2023-06-03T23:00:09.590Z,19.2776660919189,-155.439163208008,30.2299995422363,1.82000005,md,33,169,,0.109999999,hv,hv73438627,2023-06-03T23:03:22.680Z,"9 km NNE of Pāhala, Hawaii",earthquake,0.71,1.02999997,1.79999995,10,automatic,hv,hv
2023-06-03T22:59:35.460Z,19.4158325195312,-155.237335205078,1.05999994277954,2.15,ml,10,178,,0.129999995,hv,hv73438622,2023-06-03T23:05:07.010Z,"3 km S of Volcano, Hawaii",earthquake,0.29,0.310000002,0.43,3,automatic,hv,hv
2023-06-03T22:49:25.687Z,53.566,-163.3437,22.749,4.6,mb,93,167,1.235,0.83,us,us7000k661,2023-06-03T23:31:09.040Z,"143 km S of False Pass, Alaska",earthquake,5.52,2.473,0.051,118,reviewed,us,us
2023-06-03T22:43:17.950Z,38.8058319,-122.7721634,-0.21,1.09,md,11,79,0.009966,0.02,nc,nc73896596,2023-06-03T23:19:14.683Z,"4km NNW of The Geysers, CA",earthquake,0.23,0.57,0.2,12,automatic,nc,nc
2023-06-03T22:39:43.590Z,15.8869,144.8829,10,4.9,mb,61,66,1.084,0.41,us,us7000k65z,2023-06-03T23:18:17.040Z,"119 km NW of Saipan, Northern Mariana Islands",earthquake,8.13,1.866,0.065,75,reviewed,us,us
2023-06-03T22:38:19.412Z,65.1797,-152.5455,14.2,0.8,ml,,,,0.49,ak,ak023732362d,2023-06-03T22:40:24.286Z,"21 km W of Tanana, Alaska",earthquake,,0.8,,,automatic,ak,ak
2023-06-03T22:36:17.070Z,19.421,-155.225333333333,1.45,2.59,ml,41,65,,0.11,hv,hv73438587,2023-06-03T23:30:50.497Z,"2 km SSE of Volcano, Hawaii",earthquake,0.17,0.21,0.23274386471494,29,reviewed,hv,hv
2023-06-03T22:31:47.090Z,35.6651667,-117.5268333,5.75,0.8,ml,12,119,0.08397,0.17,ci,ci40477424,2023-06-03T22:35:50.994Z,"14km ENE of Ridgecrest, CA",earthquake,0.61,1.45,0.06,5,automatic,ci,ci
2023-06-03T22:29:08.850Z,33.4246667,-115.958,7.42,0.75,ml,6,189,0.3491,0.07,ci,ci40477416,2023-06-03T22:33:26.196Z,"12km S of North Shore, CA",earthquake,1.1,31.61,0.067,5,automatic,ci,ci
2023-06-03T22:29:06.269Z,58.1257,-155.5895,18.8,0.9,ml,,,,0.4,ak,ak02373217lu,2023-06-03T22:31:19.157Z,"88 km SE of King Salmon, Alaska",earthquake,,1.5,,,automatic,ak,ak
2023-06-03T22:26:19.650Z,38.7980003,-122.7516632,1.82,0.83,md,11,96,0.006814,0.02,nc,nc73896591,2023-06-03T22:57:20.529Z,"2km N of The Geysers, CA",earthquake,0.3,0.78,0.14,11,automatic,nc,nc
2023-06-03T22:23:55.060Z,38.8334999,-122.8174973,1.76,1.27,md,23,57,0.01164,0.02,nc,nc73896586,2023-06-03T22:57:19.530Z,"8km NW of The Geysers, CA",earthquake,0.2,0.41,0.22,23,automatic,nc,nc
2023-06-03T22:20:49.280Z,63.4856,-148.9522,1.1,2.5,ml,,,,0.63,ak,ak023731zdhc,2023-06-03T22:41:05.040Z,"10 km N of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2023-06-03T22:15:19.300Z,41.501,-112.1685,9.84,1.01,md,6,88,0.1083,0.12,uu,uu60541601,2023-06-03T23:21:35.430Z,"7 km SW of Corinne, Utah",earthquake,0.48,1.84,0.069,3,reviewed,uu,uu
2023-06-03T22:15:15.130Z,61.1325,-147.2719,11.8,1.2,ml,,,,0.31,ak,ak023731y89l,2023-06-03T22:17:15.205Z,"43 km NW of Tatitlek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-03T22:12:44.985Z,63.5839,-147.264,14.5,1.8,ml,,,,0.15,ak,ak023731xnf6,2023-06-03T22:14:11.722Z,"83 km ESE of Denali Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2023-06-03T22:10:22.426Z,61.6152,-151.6308,84.3,1.3,ml,,,,0.37,ak,ak023731x68y,2023-06-03T22:11:54.339Z,"43 km SSW of Skwentna, Alaska",earthquake,,1.5,,,automatic,ak,ak
2023-06-03T22:00:10.110Z,19.4068336486816,-155.321334838867,2.5699999332428,1.75,ml,27,68,,0.170000002,hv,hv73438532,2023-06-03T22:05:42.980Z,"9 km WSW of Volcano, Hawaii",earthquake,0.31,0.439999998,0.36,7,automatic,hv,hv
2023-06-03T21:59:48.850Z,19.4086666107178,-155.318496704102,2.89000010490417,1.79,ml,7,133,,0.0900000036,hv,hv73438527,2023-06-03T22:05:20.630Z,"9 km WSW of Volcano, Hawaii",earthquake,0.61,0.389999986,0.32,7,automatic,hv,hv
2023-06-03T21:57:27.710Z,38.795166,-122.7968369,0.6,0.76,md,9,80,0.007247,0.04,nc,nc73896581,2023-06-03T22:14:16.254Z,"4km WNW of The Geysers, CA",earthquake,0.34,0.61,0.17,9,automatic,nc,nc
